2018-09-24 16:00:03 [ 34,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 34,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 34,I]	Signal min: 0
2018-09-24 16:00:03 [ 34,I]	Signal max: 1
2018-09-24 16:00:03 [ 35,A]	Signal name: High_Beam_Available
2018-09-24 16:00:03 [ 35,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 35,D]	Signal len: 1
2018-09-24 16:00:03 [ 35,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 35,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 35,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 35,I]	Signal min: 0
2018-09-24 16:00:03 [ 35,I]	Signal max: 1
2018-09-24 16:00:03 [ 36,A]	Signal name: Left_Signal
2018-09-24 16:00:03 [ 36,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 36,D]	Signal len: 1
2018-09-24 16:00:03 [ 36,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 36,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 36,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 36,I]	Signal min: 0
2018-09-24 16:00:03 [ 36,I]	Signal max: 1
2018-09-24 16:00:03 [ 37,A]	Signal name: Low_Beam
2018-09-24 16:00:03 [ 37,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 37,D]	Signal len: 1
2018-09-24 16:00:03 [ 37,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 37,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 37,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 37,I]	Signal min: 0
2018-09-24 16:00:03 [ 37,I]	Signal max: 1
2018-09-24 16:00:03 [ 38,A]	Signal name: Low_Beam_available
2018-09-24 16:00:03 [ 38,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 38,D]	Signal len: 1
2018-09-24 16:00:03 [ 38,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 38,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 38,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 38,I]	Signal min: 0
2018-09-24 16:00:03 [ 38,I]	Signal max: 1
2018-09-24 16:00:03 [ 39,A]	Signal name: Right_Signal
2018-09-24 16:00:03 [ 39,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 39,D]	Signal len: 1
2018-09-24 16:00:03 [ 39,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 39,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 39,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 39,I]	Signal min: 0
2018-09-24 16:00:03 [ 39,I]	Signal max: 1
2018-09-24 16:00:03 [ 40,A]	Signal name: Speed
2018-09-24 16:00:03 [ 40,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 40,D]	Signal len: 8
2018-09-24 16:00:03 [ 40,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 40,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 40,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 40,I]	Signal min: 0
2018-09-24 16:00:03 [ 40,I]	Signal max: 255
2018-09-24 16:00:03 [ 41,A]	Signal name: Speed_Available
2018-09-24 16:00:03 [ 41,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 41,D]	Signal len: 1
2018-09-24 16:00:03 [ 41,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 41,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 41,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 41,I]	Signal min: 0
2018-09-24 16:00:03 [ 41,I]	Signal max: 1
2018-09-24 16:00:03 [ 42,A]	Signal name: Wipers
2018-09-24 16:00:03 [ 42,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 42,D]	Signal len: 1
2018-09-24 16:00:03 [ 42,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 42,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 42,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 42,I]	Signal min: 0
2018-09-24 16:00:03 [ 42,I]	Signal max: 1
2018-09-24 16:00:03 [ 43,A]	Signal name: Wipers_available
2018-09-24 16:00:03 [ 43,B]	Message name: Car_Info
2018-09-24 16:00:03 [ 43,D]	Signal len: 1
2018-09-24 16:00:03 [ 43,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 43,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 43,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 43,I]	Signal min: 0
2018-09-24 16:00:03 [ 43,I]	Signal max: 1
2018-09-24 16:00:03 [ 44,A]	Signal name: Distance_To_Left_Lane
2018-09-24 16:00:03 [ 44,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 44,D]	Signal len: 12
2018-09-24 16:00:03 [ 44,F]	Signal Type: Signed
2018-09-24 16:00:03 [ 44,G]	Signal Factor: 0.02
2018-09-24 16:00:03 [ 44,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 44,I]	Signal min: -40
2018-09-24 16:00:03 [ 44,I]	Signal max: 40
2018-09-24 16:00:03 [ 45,A]	Signal name: Distance_To_Right_Lane
2018-09-24 16:00:03 [ 45,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 45,D]	Signal len: 12
2018-09-24 16:00:03 [ 45,F]	Signal Type: Signed
2018-09-24 16:00:03 [ 45,G]	Signal Factor: 0.02
2018-09-24 16:00:03 [ 45,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 45,I]	Signal min: -40
2018-09-24 16:00:03 [ 45,I]	Signal max: 40
2018-09-24 16:00:03 [ 46,A]	Signal name: Lane_Confidence_Left
2018-09-24 16:00:03 [ 46,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 46,D]	Signal len: 2
2018-09-24 16:00:03 [ 46,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 46,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 46,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 46,I]	Signal min: 0
2018-09-24 16:00:03 [ 46,I]	Signal max: 3
2018-09-24 16:00:03 [ 47,A]	Signal name: Lane_Confidence_Right
2018-09-24 16:00:03 [ 47,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 47,D]	Signal len: 2
2018-09-24 16:00:03 [ 47,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 47,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 47,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 47,I]	Signal min: 0
2018-09-24 16:00:03 [ 47,I]	Signal max: 3
2018-09-24 16:00:03 [ 48,A]	Signal name: Lane_Type_Left
2018-09-24 16:00:03 [ 48,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 48,D]	Signal len: 4
2018-09-24 16:00:03 [ 48,F]	Signal Type: Unsigned
2018-09-24 16:00:03 [ 48,G]	Signal Factor: 1
2018-09-24 16:00:03 [ 48,H]	Signal Offset: 0
2018-09-24 16:00:03 [ 48,I]	Signal min: 0
2018-09-24 16:00:03 [ 48,I]	Signal max: 15
2018-09-24 16:00:03 [ 49,A]	Signal name: Lane_Type_Right
2018-09-24 16:00:03 [ 49,B]	Message name: Detils_Lane
2018-09-24 16:00:03 [ 49,D]	Signal len: 4
